Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2003/2004,New Jersey Nets,27.7,47,35,49,33,2.50,-0.63,1.88,100.8,98.0,+2.8,89.4,.291,.176,.515,.471,14.4,25.9,.219,.460,15.7,73.9,.221,"613,051","14,952"
2003/2004,Memphis Grizzlies,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,+2.6,91.4,.322,.197,.522,.479,13.9,29.5,.234,.465,15.7,68.4,.251,"622,723","15,188"
2003/2004,Houston Rockets,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99.0,+1.9,87.8,.286,.227,.528,.484,16.4,26.5,.221,.447,13.1,74.5,.233,"640,794","15,629"
2003/2004,Denver Nuggets,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,+1.2,93.3,.319,.146,.517,.467,14.2,30.5,.245,.481,15.6,69.3,.221,"721,476","17,597"
2003/2004,Milwaukee Bucks,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,+1.1,91.6,.330,.172,.528,.477,12.7,27.6,.255,.485,13.3,71.8,.213,"690,180","16,834"
2003/2004,Miami Heat,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,+0.5,88.0,.298,.211,.510,.463,13.5,27.4,.227,.463,14.5,73.4,.260,"624,809","15,239"
2003/2004,New Orleans Hornets,30.3,41,41,41,41,-0.10,-0.62,-0.72,102.3,102.4,-0.1,89.1,.293,.252,.505,.460,14.1,30.6,.220,.476,15.0,71.3,.218,"587,613","14,332"
2003/2004,Seattle SuperSonics,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,.270,.294,.540,.501,13.9,27.2,.207,.487,13.9,68.5,.237,"625,474","15,154"
2003/2004,Golden State Warriors,28.1,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,.311,.197,.517,.475,14.1,28.4,.226,.476,13.3,72.1,.211,"665,648","16,235"
2003/2004,Portland Trail Blazers,27.6,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,.267,.170,.515,.478,14.4,31.2,.195,.482,13.3,70.0,.186,"684,038","16,684"
